,cip_code,earnings.highest.1_yr.male_median_earnings,earnings.highest.1_yr.nonmale_median_earnings,earnings.highest.1_yr.overall_median_earnings,earnings.highest.3_yr.male_median_earnings,earnings.highest.3_yr.nonmale_median_earnings,earnings.highest.2_yr.overall_median_earnings,CIPCode,CIPTitle
298,45.99,42729.181818181816,34506.618627450975,35748.78968253968,46576.77777777778,42153.8717948718,37180.5752688172,45.99,"Social Sciences, Other."
299,46.00,75230.0,64318.0,74208.0,85848.0,,74747.0,46.00,"Construction Trades, General."
300,46.01,,,12942.0,,,26860.0,46.01,Mason/Masonry.
301,46.02,26518.83333333333,,30110.94444444445,34010.0,,32111.541666666664,46.02,Carpenters.
302,46.03,51263.02261904762,,51072.0853968254,51455.18,,43802.16904761905,46.03,Electrical and Power Transmission Installers.
303,46.04,47030.45,66391.0,48270.92424242424,52301.33333333333,,43445.30303030303,46.04,"Building/Construction Finishing, Management, and Inspection."
304,46.05,39464.0,,39366.0,42198.5,,37745.16666666666,46.05,Plumbing and Related Water Supply Services.
305,46.99,47814.0,,48421.5,36212.0,,28960.0,46.99,"Construction Trades, Other."
306,47.00,,,,,,22989.0,47.00,"Mechanics and Repairers, General."
307,47.01,47663.083333333336,,46491.15384615384,44570.66666666666,,39637.31578947369,47.01,Electrical/Electronics Maintenance and Repair Technology.
308,47.02,36927.45222222222,,36992.14791666667,39757.05595238095,,35582.295959595955,47.02,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)."
309,47.03,45970.125,,44612.23684210526,49465.892857142855,24733.0,43720.41203703704,47.03,Heavy/Industrial Equipment Maintenance Technologies.
310,47.04,39843.0,71145.5,40651.16666666666,36205.66666666666,,37970.5,47.04,Precision Systems Maintenance and Repair Technologies.
311,47.06,38557.76090909091,29717.0,37753.69149029983,43216.36910273368,35268.791666666664,36707.6086763519,47.06,Vehicle Maintenance and Repair Technologies.
312,47.99,43312.0,,43283.0,55960.0,,55777.0,47.99,"Mechanic and Repair Technologies/Technicians, Other."
313,48.00,,,,,,,48.00,"Precision Production Trades, General."
314,48.03,,,,,,,48.03,Leatherworking and Upholstery.
315,48.05,37512.57171201814,,36832.85954270597,41346.16117424242,24265.0,35754.77145006354,48.05,Precision Metal Working.
316,48.07,38387.0,,30324.0,45229.0,,33270.0,48.07,Woodworking.
317,48.08,,,,,,,48.08,Boilermaking/Boilermaker.
318,48.99,,,26457.0,,,32569.0,48.99,"Precision Production, Other."
319,49.01,45828.4612244898,50212.142857142855,45514.98908730158,59743.16256157636,59653.0625,44143.36788617886,49.01,Air Transportation.
320,49.02,44900.066666666666,30345.0,43827.45555555556,43409.607142857145,,37148.99166666667,49.02,Ground Transportation.
321,49.03,76248.5,,74552.91666666667,96512.5,,87269.16666666667,49.03,Marine Transportation.
322,49.99,55146.0,,53678.0,,,63005.0,49.99,"Transportation and Materials Moving, Other."
323,50.01,24472.546296296296,24220.90064102564,25371.409523809525,32363.772727272728,29344.34523809524,27055.2731884058,50.01,"Visual and Performing Arts, General."
324,50.02,,25975.0,27664.33333333333,,27195.0,21803.625,50.02,"Crafts/Craft Design, Folk Art and Artisanry."
325,50.03,,21771.17777777778,22119.77388888889,,30124.795454545456,23083.43282828283,50.03,Dance.
